periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,C,08087,S,71,A00,2,A00,A0,A0,E0,0,0,2015,3,33,6,496,1,1,1
Q,U,C,08087,S,72,A00,1,A00,A0,A0,E0,0,0,2015,3,387,154,1575,1,1,1
Q,U,C,08087,S,72,A00,2,A00,A0,A0,E0,0,0,2015,3,585,207,1410,1,1,1
Q,U,C,08087,S,81,A00,1,A00,A0,A0,E0,0,0,2015,3,101,12,2991,1,1,1
Q,U,C,08087,S,81,A00,2,A00,A0,A0,E0,0,0,2015,3,85,23,1999,1,1,1
Q,U,C,08087,S,92,A00,1,A00,A0,A0,E0,0,0,2015,3,439,34,3048,9,9,9
Q,U,C,08087,S,92,A00,2,A00,A0,A0,E0,0,0,2015,3,374,31,2723,9,1,1
Q,U,C,08089,A,00,A00,1,A00,A0,A0,E0,0,0,2015,3,2881,580,3393,1,1,1
Q,U,C,08089,A,00,A00,2,A00,A0,A0,E0,0,0,2015,3,3010,539,2585,1,1,1
Q,U,C,08089,S,11,A00,1,A00,A0,A0,E0,0,0,2015,3,217,127,2758,1,1,1
Q,U,C,08089,S,11,A00,2,A00,A0,A0,E0,0,0,2015,3,81,56,1775,1,1,1
Q,U,C,08089,S,21,A00,1,A00,A0,A0,E0,0,0,2015,3,0,0,,1,1,5
Q,U,C,08089,S,21,A00,2,A00,A0,A0,E0,0,0,2015,3,0,0,,1,1,5
Q,U,C,08089,S,22,A00,1,A00,A0,A0,E0,0,0,2015,3,66,5,4349,1,9,1
Q,U,C,08089,S,22,A00,2,A00,A0,A0,E0,0,0,2015,3,26,0,3121,1,1,9
Q,U,C,08089,S,23,A00,1,A00,A0,A0,E0,0,0,2015,3,163,48,3580,1,9,1
Q,U,C,08089,S,23,A00,2,A00,A0,A0,E0,0,0,2015,3,30,5,2500,1,1,1
Q,U,C,08089,S,31-33,A00,1,A00,A0,A0,E0,0,0,2015,3,584,86,3885,9,9,9
Q,U,C,08089,S,31-33,A00,2,A00,A0,A0,E0,0,0,2015,3,78,23,3859,9,9,9
Q,U,C,08089,S,42,A00,1,A00,A0,A0,E0,0,0,2015,3,169,32,3073,1,1,1
Q,U,C,08089,S,42,A00,2,A00,A0,A0,E0,0,0,2015,3,48,12,1715,1,9,1
Q,U,C,08089,S,44-45,A00,1,A00,A0,A0,E0,0,0,2015,3,291,71,2469,1,1,1
Q,U,C,08089,S,44-45,A00,2,A00,A0,A0,E0,0,0,2015,3,298,81,1988,1,1,1
Q,U,C,08089,S,48-49,A00,1,A00,A0,A0,E0,0,0,2015,3,38,5,2878,1,1,1
Q,U,C,08089,S,48-49,A00,2,A00,A0,A0,E0,0,0,2015,3,6,,2042,1,5,9
Q,U,C,08089,S,51,A00,1,A00,A0,A0,E0,0,0,2015,3,68,6,4859,1,9,9
Q,U,C,08089,S,51,A00,2,A00,A0,A0,E0,0,0,2015,3,77,15,2687,1,9,1
Q,U,C,08089,S,52,A00,1,A00,A0,A0,E0,0,0,2015,3,53,,5752,1,5,1
Q,U,C,08089,S,52,A00,2,A00,A0,A0,E0,0,0,2015,3,132,8,2950,1,1,1
Q,U,C,08089,S,53,A00,1,A00,A0,A0,E0,0,0,2015,3,44,7,3362,1,9,1
Q,U,C,08089,S,53,A00,2,A00,A0,A0,E0,0,0,2015,3,25,,2348,1,5,1
Q,U,C,08089,S,54,A00,1,A00,A0,A0,E0,0,0,2015,3,37,,7878,1,5,9
Q,U,C,08089,S,54,A00,2,A00,A0,A0,E0,0,0,2015,3,59,3,3003,1,9,1
Q,U,C,08089,S,55,A00,1,A00,A0,A0,E0,0,0,2015,3,0,0,,1,1,5
Q,U,C,08089,S,55,A00,2,A00,A0,A0,E0,0,0,2015,3,,0,330,5,1,9
Q,U,C,08089,S,56,A00,1,A00,A0,A0,E0,0,0,2015,3,25,4,2101,9,1,9
Q,U,C,08089,S,56,A00,2,A00,A0,A0,E0,0,0,2015,3,8,,1523,9,5,9
Q,U,C,08089,S,61,A00,1,A00,A0,A0,E0,0,0,2015,3,230,41,3186,1,1,1
Q,U,C,08089,S,61,A00,2,A00,A0,A0,E0,0,0,2015,3,640,92,2812,1,1,1
Q,U,C,08089,S,62,A00,1,A00,A0,A0,E0,0,0,2015,3,331,46,3796,1,1,1
Q,U,C,08089,S,62,A00,2,A00,A0,A0,E0,0,0,2015,3,941,114,2940,1,1,1
Q,U,C,08089,S,71,A00,1,A00,A0,A0,E0,0,0,2015,3,8,0,1474,1,1,1
Q,U,C,08089,S,71,A00,2,A00,A0,A0,E0,0,0,2015,3,8,,362,1,5,1
Q,U,C,08089,S,72,A00,1,A00,A0,A0,E0,0,0,2015,3,169,76,1205,1,1,1
Q,U,C,08089,S,72,A00,2,A00,A0,A0,E0,0,0,2015,3,266,98,1040,1,1,1
Q,U,C,08089,S,81,A00,1,A00,A0,A0,E0,0,0,2015,3,67,7,2776,1,1,1
Q,U,C,08089,S,81,A00,2,A00,A0,A0,E0,0,0,2015,3,42,9,1752,1,9,1
Q,U,C,08089,S,92,A00,1,A00,A0,A0,E0,0,0,2015,3,323,18,3354,1,1,1
Q,U,C,08089,S,92,A00,2,A00,A0,A0,E0,0,0,2015,3,243,15,2733,1,1,1
Q,U,C,08091,A,00,A00,1,A00,A0,A0,E0,0,0,2015,3,1044,226,3807,1,1,1
Q,U,C,08091,A,00,A00,2,A00,A0,A0,E0,0,0,2015,3,900,223,2315,1,1,1
Q,U,C,08091,S,11,A00,1,A00,A0,A0,E0,0,0,2015,3,42,,3480,1,5,1
Q,U,C,08091,S,11,A00,2,A00,A0,A0,E0,0,0,2015,3,8,0,1941,1,1,1
Q,U,C,08091,S,21,A00,1,A00,A0,A0,E0,0,0,2015,3,134,13,5734,9,9,9
Q,U,C,08091,S,21,A00,2,A00,A0,A0,E0,0,0,2015,3,9,6,4526,9,9,9
Q,U,C,08091,S,22,A00,1,A00,A0,A0,E0,0,0,2015,3,,,7162,5,5,9
Q,U,C,08091,S,22,A00,2,A00,A0,A0,E0,0,0,2015,3,,0,4046,5,1,9
Q,U,C,08091,S,23,A00,1,A00,A0,A0,E0,0,0,2015,3,126,32,4444,1,1,1
Q,U,C,08091,S,23,A00,2,A00,A0,A0,E0,0,0,2015,3,26,9,3209,1,9,1
Q,U,C,08091,S,31-33,A00,1,A00,A0,A0,E0,0,0,2015,3,54,15,2512,1,1,1
Q,U,C,08091,S,31-33,A00,2,A00,A0,A0,E0,0,0,2015,3,51,8,2324,1,9,1
Q,U,C,08091,S,42,A00,1,A00,A0,A0,E0,0,0,2015,3,6,,2637,9,5,9
Q,U,C,08091,S,42,A00,2,A00,A0,A0,E0,0,0,2015,3,5,,3607,1,5,1
Q,U,C,08091,S,44-45,A00,1,A00,A0,A0,E0,0,0,2015,3,71,13,2828,1,9,1
Q,U,C,08091,S,44-45,A00,2,A00,A0,A0,E0,0,0,2015,3,123,24,1803,1,1,1
Q,U,C,08091,S,48-49,A00,1,A00,A0,A0,E0,0,0,2015,3,11,2,1240,9,9,9
Q,U,C,08091,S,48-49,A00,2,A00,A0,A0,E0,0,0,2015,3,6,0,2671,9,1,1
Q,U,C,08091,S,51,A00,1,A00,A0,A0,E0,0,0,2015,3,6,5,6896,1,1,1
Q,U,C,08091,S,51,A00,2,A00,A0,A0,E0,0,0,2015,3,22,0,1624,1,1,1
Q,U,C,08091,S,52,A00,1,A00,A0,A0,E0,0,0,2015,3,4,,3069,1,5,9
Q,U,C,08091,S,52,A00,2,A00,A0,A0,E0,0,0,2015,3,20,,2630,9,5,9
Q,U,C,08091,S,53,A00,1,A00,A0,A0,E0,0,0,2015,3,16,,4028,9,5,9
Q,U,C,08091,S,53,A00,2,A00,A0,A0,E0,0,0,2015,3,10,,2369,1,5,1
Q,U,C,08091,S,54,A00,1,A00,A0,A0,E0,0,0,2015,3,35,4,6550,1,9,1
Q,U,C,08091,S,54,A00,2,A00,A0,A0,E0,0,0,2015,3,45,5,2629,1,1,1
Q,U,C,08091,S,55,A00,1,A00,A0,A0,E0,0,0,2015,3,3,0,11195,1,1,1
Q,U,C,08091,S,55,A00,2,A00,A0,A0,E0,0,0,2015,3,3,0,1235,9,1,9
Q,U,C,08091,S,56,A00,1,A00,A0,A0,E0,0,0,2015,3,15,6,4530,1,1,9
Q,U,C,08091,S,56,A00,2,A00,A0,A0,E0,0,0,2015,3,8,4,2380,1,1,1
Q,U,C,08091,S,61,A00,1,A00,A0,A0,E0,0,0,2015,3,21,5,2796,9,9,9
Q,U,C,08091,S,61,A00,2,A00,A0,A0,E0,0,0,2015,3,55,6,2137,9,9,9
Q,U,C,08091,S,62,A00,1,A00,A0,A0,E0,0,0,2015,3,8,0,6115,1,1,9
Q,U,C,08091,S,62,A00,2,A00,A0,A0,E0,0,0,2015,3,34,,2351,1,5,1
Q,U,C,08091,S,71,A00,1,A00,A0,A0,E0,0,0,2015,3,48,17,1887,9,9,9
Q,U,C,08091,S,71,A00,2,A00,A0,A0,E0,0,0,2015,3,22,13,1242,9,9,1
Q,U,C,08091,S,72,A00,1,A00,A0,A0,E0,0,0,2015,3,283,97,2237,1,1,1
Q,U,C,08091,S,72,A00,2,A00,A0,A0,E0,0,0,2015,3,315,122,1959,1,1,1
Q,U,C,08091,S,81,A00,1,A00,A0,A0,E0,0,0,2015,3,17,3,3167,1,1,1
Q,U,C,08091,S,81,A00,2,A00,A0,A0,E0,0,0,2015,3,38,14,2980,1,1,9
Q,U,C,08091,S,92,A00,1,A00,A0,A0,E0,0,0,2015,3,128,8,3293,9,9,9
Q,U,C,08091,S,92,A00,2,A00,A0,A0,E0,0,0,2015,3,92,4,3190,9,9,9
Q,U,C,08093,A,00,A00,1,A00,A0,A0,E0,0,0,2015,3,1176,269,3888,1,1,1
Q,U,C,08093,A,00,A00,2,A00,A0,A0,E0,0,0,2015,3,1260,265,2881,1,1,1
Q,U,C,08093,S,11,A00,1,A00,A0,A0,E0,0,0,2015,3,9,0,2036,9,1,1
Q,U,C,08093,S,11,A00,2,A00,A0,A0,E0,0,0,2015,3,13,0,3318,1,1,1
Q,U,C,08093,S,21,A00,1,A00,A0,A0,E0,0,0,2015,3,,,,5,5,5
Q,U,C,08093,S,21,A00,2,A00,A0,A0,E0,0,0,2015,3,0,,,1,5,5
