periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,C,18147,S,61,A00,1,A00,A0,A0,E0,0,0,2012,3,145,10,3012,9,9,9
Q,U,C,18147,S,61,A00,2,A00,A0,A0,E0,0,0,2012,3,412,33,2067,9,9,9
Q,U,C,18147,S,62,A00,1,A00,A0,A0,E0,0,0,2012,3,71,6,2389,1,1,1
Q,U,C,18147,S,62,A00,2,A00,A0,A0,E0,0,0,2012,3,269,44,2301,1,1,1
Q,U,C,18147,S,71,A00,1,A00,A0,A0,E0,0,0,2012,3,605,35,1520,9,9,9
Q,U,C,18147,S,71,A00,2,A00,A0,A0,E0,0,0,2012,3,866,41,1027,9,9,9
Q,U,C,18147,S,72,A00,1,A00,A0,A0,E0,0,0,2012,3,159,33,1254,1,9,1
Q,U,C,18147,S,72,A00,2,A00,A0,A0,E0,0,0,2012,3,357,73,1050,1,1,1
Q,U,C,18147,S,81,A00,1,A00,A0,A0,E0,0,0,2012,3,251,24,5556,1,1,9
Q,U,C,18147,S,81,A00,2,A00,A0,A0,E0,0,0,2012,3,66,6,1522,1,1,1
Q,U,C,18147,S,92,A00,1,A00,A0,A0,E0,0,0,2012,3,204,10,2548,1,9,1
Q,U,C,18147,S,92,A00,2,A00,A0,A0,E0,0,0,2012,3,163,6,2044,9,1,9
Q,U,C,18149,A,00,A00,1,A00,A0,A0,E0,0,0,2012,3,1931,421,2906,1,1,1
Q,U,C,18149,A,00,A00,2,A00,A0,A0,E0,0,0,2012,3,2002,401,1812,1,1,1
Q,U,C,18149,S,11,A00,1,A00,A0,A0,E0,0,0,2012,3,88,40,2486,1,9,1
Q,U,C,18149,S,11,A00,2,A00,A0,A0,E0,0,0,2012,3,22,9,1268,9,9,9
Q,U,C,18149,S,22,A00,1,A00,A0,A0,E0,0,0,2012,3,,0,,5,1,5
Q,U,C,18149,S,22,A00,2,A00,A0,A0,E0,0,0,2012,3,,0,1401,5,1,9
Q,U,C,18149,S,23,A00,1,A00,A0,A0,E0,0,0,2012,3,62,12,2969,1,9,9
Q,U,C,18149,S,23,A00,2,A00,A0,A0,E0,0,0,2012,3,13,,1766,1,5,1
Q,U,C,18149,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,3,659,109,3196,1,1,1
Q,U,C,18149,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,3,321,61,2198,1,9,1
Q,U,C,18149,S,42,A00,1,A00,A0,A0,E0,0,0,2012,3,113,6,4675,1,9,1
Q,U,C,18149,S,42,A00,2,A00,A0,A0,E0,0,0,2012,3,26,3,3263,1,9,1
Q,U,C,18149,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,3,245,36,2648,1,1,1
Q,U,C,18149,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,3,317,49,1347,1,1,1
Q,U,C,18149,S,48-49,A00,1,A00,A0,A0,E0,0,0,2012,3,33,7,2887,1,9,1
Q,U,C,18149,S,48-49,A00,2,A00,A0,A0,E0,0,0,2012,3,11,,1525,1,5,1
Q,U,C,18149,S,51,A00,1,A00,A0,A0,E0,0,0,2012,3,33,5,3863,1,9,9
