periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,C,55123,S,54,A00,2,A00,A0,A0,E0,0,0,2013,3,91,7,2394,1,1,1
Q,U,C,55123,S,55,A00,1,A00,A0,A0,E0,0,0,2013,3,,0,3649,5,1,9
Q,U,C,55123,S,55,A00,2,A00,A0,A0,E0,0,0,2013,3,,,3448,5,5,9
Q,U,C,55123,S,56,A00,1,A00,A0,A0,E0,0,0,2013,3,59,7,2519,9,1,9
Q,U,C,55123,S,56,A00,2,A00,A0,A0,E0,0,0,2013,3,13,0,1573,9,1,1
Q,U,C,55123,S,61,A00,1,A00,A0,A0,E0,0,0,2013,3,243,36,2291,1,1,1
Q,U,C,55123,S,61,A00,2,A00,A0,A0,E0,0,0,2013,3,489,67,1800,1,1,1
Q,U,C,55123,S,62,A00,1,A00,A0,A0,E0,0,0,2013,3,316,38,4353,1,1,1
Q,U,C,55123,S,62,A00,2,A00,A0,A0,E0,0,0,2013,3,1388,180,2443,1,1,1
Q,U,C,55123,S,71,A00,1,A00,A0,A0,E0,0,0,2013,3,29,11,1736,1,1,1
Q,U,C,55123,S,71,A00,2,A00,A0,A0,E0,0,0,2013,3,21,18,1194,1,9,9
Q,U,C,55123,S,72,A00,1,A00,A0,A0,E0,0,0,2013,3,191,38,976,1,1,1
Q,U,C,55123,S,72,A00,2,A00,A0,A0,E0,0,0,2013,3,481,94,800,1,1,1
Q,U,C,55123,S,81,A00,1,A00,A0,A0,E0,0,0,2013,3,57,3,2238,1,1,1
Q,U,C,55123,S,81,A00,2,A00,A0,A0,E0,0,0,2013,3,71,5,1405,1,1,1
Q,U,C,55123,S,92,A00,1,A00,A0,A0,E0,0,0,2013,3,341,19,2500,1,1,1
Q,U,C,55123,S,92,A00,2,A00,A0,A0,E0,0,0,2013,3,225,14,2236,1,1,9
Q,U,C,55125,A,00,A00,1,A00,A0,A0,E0,0,0,2013,3,3786,697,2761,1,1,1
Q,U,C,55125,A,00,A00,2,A00,A0,A0,E0,0,0,2013,3,4208,833,1980,1,1,1
Q,U,C,55125,S,11,A00,1,A00,A0,A0,E0,0,0,2013,3,43,10,3042,1,9,1
Q,U,C,55125,S,11,A00,2,A00,A0,A0,E0,0,0,2013,3,6,4,1094,9,9,1
Q,U,C,55125,S,22,A00,1,A00,A0,A0,E0,0,0,2013,3,17,0,5076,1,1,9
Q,U,C,55125,S,22,A00,2,A00,A0,A0,E0,0,0,2013,3,7,0,1594,1,1,1
Q,U,C,55125,S,23,A00,1,A00,A0,A0,E0,0,0,2013,3,428,65,3219,1,1,1
Q,U,C,55125,S,23,A00,2,A00,A0,A0,E0,0,0,2013,3,77,9,1978,1,1,1
Q,U,C,55125,S,31-33,A00,1,A00,A0,A0,E0,0,0,2013,3,208,22,2985,1,1,1
Q,U,C,55125,S,31-33,A00,2,A00,A0,A0,E0,0,0,2013,3,149,15,2020,1,1,1
Q,U,C,55125,S,42,A00,1,A00,A0,A0,E0,0,0,2013,3,153,19,3735,9,9,9
Q,U,C,55125,S,42,A00,2,A00,A0,A0,E0,0,0,2013,3,84,14,2815,9,9,9
Q,U,C,55125,S,44-45,A00,1,A00,A0,A0,E0,0,0,2013,3,539,65,2487,1,1,1
Q,U,C,55125,S,44-45,A00,2,A00,A0,A0,E0,0,0,2013,3,527,60,1770,1,1,1
Q,U,C,55125,S,48-49,A00,1,A00,A0,A0,E0,0,0,2013,3,78,3,1754,9,9,9
Q,U,C,55125,S,48-49,A00,2,A00,A0,A0,E0,0,0,2013,3,29,,933,9,5,9
Q,U,C,55125,S,51,A00,1,A00,A0,A0,E0,0,0,2013,3,57,5,3102,1,1,1
Q,U,C,55125,S,51,A00,2,A00,A0,A0,E0,0,0,2013,3,57,3,2064,1,1,1
Q,U,C,55125,S,52,A00,1,A00,A0,A0,E0,0,0,2013,3,41,,4194,1,5,1
Q,U,C,55125,S,52,A00,2,A00,A0,A0,E0,0,0,2013,3,104,5,2574,1,1,1
Q,U,C,55125,S,53,A00,1,A00,A0,A0,E0,0,0,2013,3,38,10,2604,1,1,1
Q,U,C,55125,S,53,A00,2,A00,A0,A0,E0,0,0,2013,3,46,18,2501,1,1,1
Q,U,C,55125,S,54,A00,1,A00,A0,A0,E0,0,0,2013,3,31,13,5435,1,9,1
Q,U,C,55125,S,54,A00,2,A00,A0,A0,E0,0,0,2013,3,69,10,3246,1,1,1
Q,U,C,55125,S,55,A00,1,A00,A0,A0,E0,0,0,2013,3,7,0,6048,1,1,9
Q,U,C,55125,S,55,A00,2,A00,A0,A0,E0,0,0,2013,3,15,,2782,1,5,9
Q,U,C,55125,S,56,A00,1,A00,A0,A0,E0,0,0,2013,3,191,36,2871,1,1,1
Q,U,C,55125,S,56,A00,2,A00,A0,A0,E0,0,0,2013,3,50,14,1921,1,1,1
Q,U,C,55125,S,61,A00,1,A00,A0,A0,E0,0,0,2013,3,115,9,2787,1,1,1
Q,U,C,55125,S,61,A00,2,A00,A0,A0,E0,0,0,2013,3,295,28,2072,1,1,1
Q,U,C,55125,S,62,A00,1,A00,A0,A0,E0,0,0,2013,3,90,8,6266,1,1,1
Q,U,C,55125,S,62,A00,2,A00,A0,A0,E0,0,0,2013,3,436,75,2522,1,9,1
Q,U,C,55125,S,71,A00,1,A00,A0,A0,E0,0,0,2013,3,363,61,1869,1,1,9
Q,U,C,55125,S,71,A00,2,A00,A0,A0,E0,0,0,2013,3,306,50,1819,9,1,9
Q,U,C,55125,S,72,A00,1,A00,A0,A0,E0,0,0,2013,3,841,323,1779,1,1,1
Q,U,C,55125,S,72,A00,2,A00,A0,A0,E0,0,0,2013,3,1281,456,1382,1,1,1
Q,U,C,55125,S,81,A00,1,A00,A0,A0,E0,0,0,2013,3,130,13,2582,1,1,1
Q,U,C,55125,S,81,A00,2,A00,A0,A0,E0,0,0,2013,3,169,24,1356,1,1,1
Q,U,C,55125,S,92,A00,1,A00,A0,A0,E0,0,0,2013,3,417,33,3008,9,9,9
Q,U,C,55125,S,92,A00,2,A00,A0,A0,E0,0,0,2013,3,502,46,2479,9,9,9
Q,U,C,55127,A,00,A00,1,A00,A0,A0,E0,0,0,2013,3,21066,3443,3638,1,1,1
Q,U,C,55127,A,00,A00,2,A00,A0,A0,E0,0,0,2013,3,19831,3227,2254,1,1,1
Q,U,C,55127,S,11,A00,1,A00,A0,A0,E0,0,0,2013,3,242,39,3249,1,1,1
Q,U,C,55127,S,11,A00,2,A00,A0,A0,E0,0,0,2013,3,128,36,2548,1,1,1
Q,U,C,55127,S,21,A00,1,A00,A0,A0,E0,0,0,2013,3,,,4098,5,5,9
Q,U,C,55127,S,21,A00,2,A00,A0,A0,E0,0,0,2013,3,,,,5,5,5
Q,U,C,55127,S,22,A00,1,A00,A0,A0,E0,0,0,2013,3,53,5,4449,1,1,1
Q,U,C,55127,S,22,A00,2,A00,A0,A0,E0,0,0,2013,3,29,,3182,1,5,1
Q,U,C,55127,S,23,A00,1,A00,A0,A0,E0,0,0,2013,3,957,136,3733,1,1,1
Q,U,C,55127,S,23,A00,2,A00,A0,A0,E0,0,0,2013,3,192,26,2661,1,1,1
Q,U,C,55127,S,31-33,A00,1,A00,A0,A0,E0,0,0,2013,3,6481,597,4653,1,1,1
Q,U,C,55127,S,31-33,A00,2,A00,A0,A0,E0,0,0,2013,3,3164,259,3136,1,1,1
Q,U,C,55127,S,42,A00,1,A00,A0,A0,E0,0,0,2013,3,907,73,5331,1,1,1
Q,U,C,55127,S,42,A00,2,A00,A0,A0,E0,0,0,2013,3,348,29,3586,1,1,1
Q,U,C,55127,S,44-45,A00,1,A00,A0,A0,E0,0,0,2013,3,1937,297,2563,1,1,1
Q,U,C,55127,S,44-45,A00,2,A00,A0,A0,E0,0,0,2013,3,2114,367,1685,1,1,1
Q,U,C,55127,S,48-49,A00,1,A00,A0,A0,E0,0,0,2013,3,745,81,4091,1,1,1
Q,U,C,55127,S,48-49,A00,2,A00,A0,A0,E0,0,0,2013,3,209,21,2050,1,1,1
Q,U,C,55127,S,51,A00,1,A00,A0,A0,E0,0,0,2013,3,168,16,2693,1,1,1
Q,U,C,55127,S,51,A00,2,A00,A0,A0,E0,0,0,2013,3,137,8,2166,1,1,1
Q,U,C,55127,S,52,A00,1,A00,A0,A0,E0,0,0,2013,3,226,10,5242,1,1,1
Q,U,C,55127,S,52,A00,2,A00,A0,A0,E0,0,0,2013,3,478,33,2667,1,1,1
Q,U,C,55127,S,53,A00,1,A00,A0,A0,E0,0,0,2013,3,253,58,2813,1,1,1
Q,U,C,55127,S,53,A00,2,A00,A0,A0,E0,0,0,2013,3,230,39,2040,1,1,1
Q,U,C,55127,S,54,A00,1,A00,A0,A0,E0,0,0,2013,3,429,47,4877,1,1,1
Q,U,C,55127,S,54,A00,2,A00,A0,A0,E0,0,0,2013,3,525,49,2938,1,1,1
Q,U,C,55127,S,55,A00,1,A00,A0,A0,E0,0,0,2013,3,62,10,8414,1,1,1
Q,U,C,55127,S,55,A00,2,A00,A0,A0,E0,0,0,2013,3,28,9,4166,1,9,1
Q,U,C,55127,S,56,A00,1,A00,A0,A0,E0,0,0,2013,3,1350,693,2475,1,1,1
